Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;06/2023;61.263.037;0;49.952.257;-562.381;0;3.848.623;114.501.536;-79.666.011;-2.978.021;0;-545.904;-12.676.793;-95.866.728;18.634.807;6.184.833;4.091.081;-11.081.124;-6.305.334;-2.579.955;7.218.797;12.498.467;-8.343.298;1.683.467;20.318.274;31.874;20.350.148;-1.791.974;-2.113.818;16.444.357;0
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;06/2023;60.198.511;0;31.027.900;-3.149.980;0;5.047.447;93.123.878;-48.934.602;-15.217.838;0;-85.719;-9.741.804;-73.979.962;19.143.916;8.118.435;2.585.656;-13.458.885;-5.318.050;-1.940.686;2.010.566;4.565.449;-12.771.133;-16.208.647;2.935.269;-217.235;2.718.034;2.308.480;-808.581;4.217.933;0
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2023;46.831.084;689;39.640.679;1.000.002;0;4.834.769;92.307.223;-63.713.040;-3.314.000;-629;-1.140.148;-16.388.667;-84.556.485;7.750.738;5.820.545;4.526.754;-9.184.790;-9.352.755;-2.220.414;5.666.294;9.192.480;-7.772.960;-3.324.846;4.425.892;-13.163;4.412.729;4.384.807;0;8.797.537;0
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2023;37.603.083;0;51.281.106;-4.052.666;0;6.114.579;90.946.102;-66.169.686;-837.989;-36;-989.702;-7.641.846;-75.639.260;15.306.842;4.281.256;3.636.665;-6.245.997;-7.885.164;-2.086.828;6.044.103;14.379.894;-7.677.969;4.445.960;19.752.802;82.275;19.835.077;172.293;-5.696.712;14.310.657;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;06/2023;26.774.994;40;22.107.210;-5.389.197;1.471.279;4.355.078;49.319.404;-35.299.197;-2.151.370;-40;0;-12.138.032;-49.588.639;-269.235;5.353.680;2.240.140;-3.378.876;-6.245.643;-1.824.538;2.469.408;15.200.103;-13.040.252;774.022;504.787;72.006;576.793;4.372.568;-766.337;4.183.024;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2023;22.192.764;0;7.310.604;-4.641.884;45.130;3.544;24.910.159;-3.704.965;-16.803.489;0;0;2.680.041;-17.828.413;7.081.746;221.520;0;-652.279;-114.562;-319.626;5.663.000;2.409.911;-1.412.690;5.795.273;12.877.019;2.546;12.879.564;-3.352.404;-23.995;9.503.166;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2023;3.223.609;0;11.196.615;1.429.009;1.191.029;724.446;17.764.708;-13.637.434;-986.227;0;0;-43.238;-14.666.899;3.097.809;1.268.992;113.172;-603.989;-1.775.939;-237.286;2.250.806;1.968.239;-397.834;2.586.161;5.683.969;90;5.684.059;-468.863;-640.727;4.574.469;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;06/2023;5.766.976;2.728;9.751.501;-2.028.003;1.041;645.527;14.139.769;-11.210.233;-281.270;-2.723;0;-1.881.188;-13.375.414;764.355;668.094;161.991;-1.247.058;-1.052.898;-236.399;1.083.050;3.428.692;-2.889.232;-83.759;680.596;32.059;712.655;614.066;0;1.326.721;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;06/2023;10.412.946;56.638;903.814;632.288;0;0;12.005.685;-6.033.671;-446.435;-57.233;-6.254;-6.099.595;-12.643.188;-637.503;4.254.884;841.425;-184.067;-2.591.710;-791.885;17.041.597;869.509;-4.272.707;15.167.045;14.529.543;-6.804;14.522.739;1.885.426;-43.007;16.365.158;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;06/2023;8.696.057;0;1.499.298;-13.338;0;1.303.680;11.485.697;-4.166.708;0;0;-1.580;-4.253.892;-8.422.179;3.063.518;0;0;-331.137;-656.257;-391.243;12.379;1.314.748;-197.543;-249.054;2.814.464;0;2.814.464;-1.118.594;-2.378;1.693.492;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM - PRUDENCIAL;51011;80484;b1;2;8;SAO PAULO;SP;06/2023;7.038.300;0;3.022.343;-1.343.208;39.645;122.633;8.879.713;-5.929.335;-173.717;0;0;-1.104.293;-7.207.344;1.672.369;121.870;341.703;-613.507;-766.355;-186.396;-76.308;1.485.459;-1.474.573;-1.168.107;504.263;173.135;677.398;-18.796;-95.273;563.329;0
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;06/2023;4.020.751;0;4.613.870;-852.558;40.349;174.855;7.997.268;-6.921.723;-593.059;0;0;73.947;-7.440.835;556.433;46.050;2.666;-49.535;-598.548;-57.061;8.183;485.104;-104.186;-267.327;289.106;-4;289.102;-122.908;-10.549;155.645;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL - PRUDENCIAL;30173;80154;b1;1;8;PORTO ALEGRE;RS;06/2023;4.263.729;4.144;2.757.955;-266.994;0;643.767;7.402.601;-4.535.028;-477.674;-3.228;-17.576;-258.451;-5.291.957;2.110.644;45.772;379.116;-1.056.795;-776.939;-157.881;388.195;383.623;-936.722;-1.731.631;379.013;-4.779;374.235;190.425;-125.371;439.289;0
BANCO PAN S.A.;59285411;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2023;6.394.086;0;552.809;-575.371;671;166.602;6.538.797;-3.073.848;-27.372;0;0;-991.669;-4.092.889;2.445.909;207.847;228.457;-388.479;-1.784.206;-221.026;67.059;564.579;-731.123;-2.056.893;389.016;1.434;390.450;-48.146;0;342.304;0
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;3;8;SAO PAULO;SP;06/2023;671.043;6.406;5.339.556;-1.771.724;721.626;998.904;5.965.811;-4.591.909;-496.428;-5.624;0;-43.874;-5.137.835;827.976;450.073;23.641;-538.089;-452.224;-160.044;129.053;1.735.799;-854.439;333.769;1.161.745;608;1.162.353;-410.763;-76.724;674.867;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER - PRUDENCIAL;30379;80185;n1;3;14;SAO PAULO;SP;06/2023;5.378.232;0;422.014;0;0;0;5.800.246;-517.861;0;0;0;-1.827.597;-2.345.459;3.454.787;55.071;287.888;-110.181;-185.052;-1.735.547;25.485;1.890.169;-1.813.215;-1.585.380;1.869.407;-3.950;1.865.457;-726.518;-17.358;1.121.581;0
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;2038232;BANCOOB - PRUDENCIAL;51750;80879;b1;2;11;BRASILIA;DF;06/2023;2.217.989;0;3.193.824;766;1.688;90.945;5.505.211;-4.999.459;-138.234;0;0;-42.350;-5.180.044;325.167;420.338;39;-110.978;-193.119;-75.514;119.900;331.440;-490.149;1.956;327.124;72;327.195;-96.025;-8.118;223.052;0
