Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;12/2022;58.297.195;0;58.596.285;178.249;358.386;3.893.445;121.323.560;-82.385.674;-5.926.512;0;0;-14.542.328;-102.854.514;18.469.047;6.287.062;4.249.364;-10.860.116;-5.237.470;-2.451.338;8.284.131;10.796.191;-7.750.692;3.317.134;21.786.181;-32.654;21.753.526;-2.982.566;-2.132.589;16.638.371;0
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;12/2022;56.235.680;0;24.831.667;432.402;66.532;4.497.978;86.064.259;-43.717.374;-14.936.399;0;0;-7.843.325;-66.497.097;19.567.162;8.480.850;2.517.036;-13.365.650;-5.973.955;-1.999.036;2.041.360;6.311.604;-11.957.151;-13.944.940;5.622.222;-40.044;5.582.178;971.396;-1.060.139;5.493.435;0
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;12/2022;36.162.795;574;43.986.868;-738.907;768.375;5.618.541;85.798.245;-57.742.047;-3.824.552;0;0;-8.799.503;-70.366.102;15.432.143;4.631.069;3.860.112;-6.052.040;-8.321.352;-1.936.088;8.502.395;8.463.879;-6.389.630;2.758.344;18.190.487;108.872;18.299.359;1.334.900;-3.690.333;15.943.927;0
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;12/2022;44.706.379;1.332;35.028.544;900.824;352.844;4.676.756;85.666.679;-59.799.266;-2.982.061;-1.344;0;-16.575.401;-79.358.073;6.308.606;6.034.638;4.671.895;-9.247.190;-9.713.000;-2.397.203;7.669.313;6.842.800;-7.288.312;-3.427.060;2.881.546;16.324;2.897.870;3.749.785;0;6.647.656;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;12/2022;26.385.861;33;16.816.762;-1.036.567;0;4.331.228;46.497.318;-33.010.699;-1.972.350;-33;-178.402;-10.568.466;-45.729.951;767.368;5.637.941;2.195.028;-3.198.110;-6.080.297;-1.577.849;4.935.164;13.118.048;-13.289.969;1.739.955;2.507.323;94.748;2.602.071;2.970.185;-990.117;4.582.139;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;12/2022;17.062.953;0;10.775.423;-15.085;14.227;0;27.837.519;-5.139.870;-14.806.253;0;0;-601.561;-20.547.684;7.289.835;446.757;0;-677.790;-87.689;-256.757;11.957.597;222.079;-686.489;10.917.709;18.207.543;-40.388;18.167.155;-901.033;-138.573;17.127.548;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;12/2022;3.741.709;0;11.435.409;2.337.627;2.315.117;749.390;20.579.252;-12.864.136;-2.467.498;0;0;-1.245.424;-16.577.059;4.002.194;1.688.868;115.462;-582.522;-1.637.138;-354.495;2.154.652;1.430.112;-2.518.099;296.841;4.299.034;5.237;4.304.271;-44.662;-427.654;3.831.955;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;12/2022;5.876.383;1.380;5.748.561;-109.864;101.719;683.206;12.301.385;-10.400.856;-312.175;-1.295;0;-1.543.037;-12.257.363;44.022;868.878;176.855;-1.792.459;-1.202.061;-248.324;1.021.013;3.904.430;-2.128.039;600.293;644.316;3.306;647.621;417.119;0;1.064.740;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;12/2022;6.141.543;0;1.834.633;-8.380;0;903.109;8.870.906;-3.772.930;0;0;0;-3.062.078;-6.835.008;2.035.898;0;0;-161.629;-772.378;-271.713;54.655;781.900;-161.983;-531.148;1.504.750;0;1.504.750;-579.954;0;924.796;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM - PRUDENCIAL;51011;80484;b1;2;8;SAO PAULO;SP;12/2022;6.326.799;0;2.029.764;-22.038;101.132;97.076;8.532.732;-5.446.137;-220.677;0;0;-772.005;-6.438.819;2.093.913;174.552;317.003;-767.656;-837.536;-217.176;121.150;892.864;-1.172.578;-1.489.376;604.537;127.155;731.692;14.143;-85.273;660.562;0
