Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;12/2023;67.568.248;0;54.960.442;38.917;1.063.777;3.802.896;127.434.279;-80.915.113;-6.697.415;0;0;-20.012.082;-107.624.610;19.809.669;6.472.622;4.181.327;-11.654.577;-6.418.444;-2.916.281;10.558.421;9.967.742;-10.940.802;-749.992;19.059.677;-29.313;19.030.364;340.089;-2.199.958;17.170.495;0
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;12/2023;39.124.138;23;55.279.519;1.917.753;952.104;6.239.197;103.512.733;-70.914.869;-4.252.486;0;0;-7.800.132;-82.967.488;20.545.245;4.441.885;3.518.948;-6.448.852;-9.084.770;-2.097.073;8.443.555;6.420.446;-8.016.719;-2.822.580;17.722.665;-732.990;16.989.675;1.479.952;-4.107.303;14.362.325;0
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;12/2023;61.799.235;0;28.781.469;943.404;96.327;5.780.992;97.401.426;-50.028.549;-14.589.298;0;0;-8.981.689;-73.599.536;23.801.890;8.593.844;2.694.337;-14.350.675;-4.057.651;-2.114.536;2.391.285;4.831.142;-17.397.505;-19.409.759;4.392.130;-790.805;3.601.325;4.559.628;-1.235.382;6.925.570;0
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;12/2023;44.604.762;678;38.826.975;579.423;683.735;5.122.205;89.817.777;-62.636.040;-3.347.898;-655;0;-15.532.683;-81.517.276;8.300.500;6.211.822;4.227.248;-9.390.859;-9.713.906;-2.092.743;8.986.238;5.126.031;-11.710.709;-8.356.877;-56.377;-44.574;-100.951;6.425.215;0;6.324.265;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;12/2023;28.011.537;41;19.987.347;-540.191;1.222.708;4.424.969;53.106.413;-37.149.895;-2.606.210;-41;0;-10.714.011;-50.470.157;2.636.256;6.489.039;2.305.364;-3.446.004;-6.866.372;-1.502.359;5.666.334;9.946.610;-13.926.583;-1.333.971;1.302.285;78.979;1.381.264;4.041.061;-741.121;4.681.203;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;12/2023;2.794.289;0;15.273.018;1.701.033;7.026.530;828.780;27.623.650;-15.693.040;-2.723.261;-867;0;-105.161;-18.522.330;9.101.320;1.235.598;107.798;-659.270;-1.748.872;-397.083;4.111.249;1.737.509;-7.333.402;-2.946.474;6.154.846;2.971;6.157.817;-83.803;-723.918;5.350.096;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;12/2023;18.642.628;0;8.678.950;-241.363;24.436;17.921;27.122.572;-3.244.758;-15.156.353;0;0;1.729.666;-16.671.444;10.451.128;827.031;0;-760.556;-131.614;-451.166;3.167.411;201.628;-1.004.172;1.848.562;12.299.689;27.870;12.327.559;227.324;-154.959;12.399.924;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;12/2023;13.176.268;0;1.950.283;6.759;0;1.400.932;16.534.241;-4.846.774;0;0;-1;-5.284.594;-10.131.369;6.402.872;4.033;0;-295.153;-1.218.840;-585.182;266;1.628.663;-660.137;-1.126.350;5.276.522;0;5.276.522;-2.004.449;-2.848;3.269.225;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;12/2023;5.404.255;1.771;8.754.829;-684.456;139.017;555.041;14.170.456;-10.985.827;-486.527;-1.561;0;152.236;-11.321.679;2.848.778;756.260;158.437;-1.648.951;-1.070.662;-249.939;888.159;2.382.717;-1.954.692;-738.671;2.110.107;-29.911;2.080.195;-162.735;0;1.917.460;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;12/2023;10.382.182;4.910;1.311.665;277.166;1.164;0;11.977.087;-6.078.855;-424.955;-5.721;0;-5.280.835;-11.790.366;186.721;4.734.741;895.588;-140.635;-2.526.500;-849.285;17.840.530;676.461;-4.145.367;16.485.536;16.672.257;1.887;16.674.144;373.997;-24.419;17.023.721;0
