Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO UNICRED CENTRAL MULTIRREGIONAL LTDA. - UCM;184068;;;;b3C;2;9;BELO HORIZONTE;MG;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA;204963;;;;b3S;2;9;SEARA;SC;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
AGK CORRETORA DE CAMBIO S.A.;250699;AGK CC S.A. - PRUDENCIAL;;82035;n2;2;21;SAO PAULO;SP;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
SICOOB UNIMAIS METROPOLITANA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO;259231;;;;b3S;2;9;SANTOS;SP;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;;;;b3C;2;9;BELO HORIZONTE;MG;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.;315557;;;;b3C;2;9;SAO PAULO;SP;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;329598;SEFER INVESTIMENTOS DTVM - PRUDENCIAL;;83924;n2;2;16;SAO PAULO;SP;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
COINVALORES CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS LTDA.;336036;COINVALORES - PRUDENCIAL;;80707;n2;2;15;SAO PAULO;SP;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;411939;FINAMAX S.A. CFI - PRUDENCIAL;;83436;n1;2;14;JUNDIAI;SP;03/2023;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area
