Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;09/2022;29.487.212;0;31.250.525;482.653;163.012;1.962.699;63.346.102;-42.010.493;-5.586.097;0;0;-6.302.624;-53.899.214;9.446.888;3.169.492;2.157.494;-5.309.107;-2.491.818;-1.280.262;4.238.315;4.665.224;-3.864.279;1.285.059;10.731.947;-17.459;10.714.487;-1.638.135;-1.032.830;8.043.522;0
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;09/2022;18.657.301;574;23.386.363;2.556.801;0;2.835.028;47.436.067;-30.068.078;-4.266.047;0;-742.748;-3.380.162;-38.457.034;8.979.032;2.363.783;1.982.400;-3.076.099;-3.956.833;-964.099;4.261.099;3.990.283;-3.118.840;1.481.694;10.460.726;748;10.461.474;-349.482;-2.365.842;7.746.150;0
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;09/2022;22.438.801;644;17.984.508;344.264;651.815;2.340.256;43.760.288;-29.827.933;-3.296.588;-733;0;-5.433.334;-38.558.589;5.201.699;2.999.482;2.351.402;-4.762.326;-4.683.782;-1.083.103;4.079.735;3.779.817;-3.417.462;-736.236;4.465.463;9.422;4.474.885;736.000;0;5.210.885;0
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;09/2022;26.791.294;0;14.100.369;-1.326.822;92.481;2.227.894;41.885.217;-21.573.697;-7.589.739;0;0;-2.905.294;-32.068.730;9.816.487;4.191.313;1.234.230;-6.483.268;-2.748.029;-1.034.147;994.891;4.329.738;-6.245.449;-5.760.720;4.055.767;-10.424;4.045.343;13.932;-471.444;3.587.831;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;09/2022;13.360.367;33;9.040.752;1.075.404;59.027;2.148.878;25.684.462;-18.130.997;-2.452.121;-33;0;-5.382.942;-25.966.093;-281.630;2.780.305;1.094.039;-1.587.680;-2.826.252;-662.300;3.729.100;6.126.332;-6.191.141;2.462.404;2.180.774;59.013;2.239.787;1.287.072;-493.700;3.033.160;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;09/2022;9.403.933;0;6.935.365;-243.445;14.590;0;16.110.443;-3.048.479;-9.516.213;0;0;-747.012;-13.311.704;2.798.739;170.397;0;-278.527;-45.454;-77.049;7.724.055;87.064;-231.037;7.349.449;10.148.188;1.009;10.149.198;-562.855;0;9.586.343;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;09/2022;2.163.902;0;7.846.532;-311.528;2.379.773;349.187;12.427.865;-6.309.927;-1.784.399;0;0;-146.260;-8.240.586;4.187.280;883.943;54.897;-244.347;-878.433;-176.306;996.129;356.188;-2.349.340;-1.357.269;2.830.011;17.525;2.847.536;-301.604;-358.270;2.187.662;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;09/2022;2.908.452;472;2.865.959;-67.651;142.273;344.773;6.194.278;-5.295.293;-330.813;-470;0;-187.432;-5.814.007;380.271;468.713;87.941;-709.279;-561.377;-110.285;584.470;1.369.822;-742.279;387.725;767.997;-5.933;762.064;-122.879;0;639.185;0
BANCO ITAUCARD S.A.;17192451;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;09/2022;4.504.740;27.905;301.193;10.317;0;0;4.844.156;-2.349.519;-188.561;-25.637;-806;-2.922.065;-5.486.588;-642.432;2.280.768;441.174;-13.703;-1.549.057;-288.634;289.449;530.673;-1.957.170;-266.499;-908.931;901;-908.031;547.985;-1.298;-361.343;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM - PRUDENCIAL;51011;80484;b1;2;8;SAO PAULO;SP;09/2022;3.363.725;0;1.104.695;-203.254;128.601;51.082;4.444.848;-2.916.177;-275.404;0;0;-220.118;-3.411.699;1.033.149;92.090;151.503;-359.367;-394.913;-121.321;131.922;601.571;-779.675;-678.191;354.959;-271;354.687;76.884;-47.999;383.572;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;09/2022;2.843.128;0;945.918;-14.380;0;396.688;4.171.354;-1.981.914;0;0;0;-1.567.686;-3.549.600;621.754;0;0;-87.648;-381.314;-119.055;27.830;353.929;-49.265;-255.523;366.231;0;366.231;-134.409;0;231.822;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL - PRUDENCIAL;30173;80154;b1;1;8;PORTO ALEGRE;RS;09/2022;1.874.208;3.329;1.507.263;-127.603;48.418;326.911;3.632.526;-2.313.080;-279.066;-1.346;0;-58.238;-2.651.731;980.795;17.134;218.442;-661.830;-410.647;-74.490;169.530;201.993;-462.612;-1.002.481;-21.686;-3.720;-25.406;119.300;-21.950;71.944;0
