Instituição;Código;Conglomerado Financeiro;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;09/2020;19.422.131;0;4.578.580;504.865;0;304.027;24.809.603;-6.527.091;-6.367.593;0;-486.166;-6.617.453;-19.998.304;4.811.299;2.414.419;2.325.129;-5.131.213;-2.675.490;-916.283;2.671.569;2.177.275;-2.952.668;-2.087.261;2.724.037;-1.739;2.722.298;712.507;-397.329;3.037.477;0
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;09/2020;15.511.319;1.735;6.802.017;-752.822;721.383;381.735;22.665.367;-5.769.744;-3.447.398;-1.628;0;-4.197.047;-13.415.817;9.249.550;2.321.749;2.400.674;-4.060.487;-4.674.080;-1.068.316;3.395.159;1.698.444;-5.587.052;-5.573.909;3.675.641;-45.310;3.630.331;563.749;0;4.194.080;0
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;09/2020;15.858.202;0;1.916.328;675.010;76.015;973.877;19.499.432;-4.710.678;-4.916.376;0;0;-3.670.397;-13.297.451;6.201.982;4.533.761;1.557.004;-5.525.249;-2.546.336;-845.731;990.808;1.625.765;-5.522.490;-5.732.466;469.515;69.332;538.847;1.613.016;-396.622;1.755.241;0
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;09/2020;11.131.300;82;6.603.230;-3.337.954;1.393.852;419.618;16.210.129;-7.328.078;-3.511.773;-37;0;-1.266.828;-12.106.717;4.103.411;2.837.872;2.099.690;-2.820.488;-3.371.506;-693.871;2.560.588;2.646.267;-3.893.524;-634.972;3.468.439;13.764;3.482.203;1.074.090;-1.526.766;3.029.526;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;09/2020;9.072.328;21;3.471.294;-340.186;519.246;275.430;12.998.133;-5.457.830;-3.393.193;-21;0;-2.062.416;-10.913.461;2.084.672;2.461.333;1.154.954;-1.620.993;-2.615.408;-689.930;3.772.125;3.112.953;-3.618.766;1.956.269;4.040.941;26.589;4.067.529;87.730;-411.331;3.743.927;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;09/2020;8.296.992;0;1.735.645;1.083.259;0;0;11.115.896;-392.497;-7.183.231;0;-32.219;81.841;-7.526.106;3.589.790;133.762;0;-299.027;-49.204;-166.627;6.568.357;239.952;-249.947;6.177.266;9.767.057;2.797;9.769.854;-1.043.373;-17;8.726.464;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;09/2020;2.739.140;25.207;218.932;-11.940;1.013;0;2.972.352;-320.136;-68.565;-37.605;0;-2.292.208;-2.718.515;253.837;1.204.975;550.596;-50.561;-1.166.299;-243.866;46.906;548.334;-1.409.775;-519.688;-265.851;8.718;-257.133;131.841;-694;-125.986;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;09/2020;405.247;0;2.590.468;-476.717;0;14.067;2.533.065;-1.283.847;-1.114.142;0;-203.399;-9.285;-2.610.674;-77.608;577.061;5.190;-105.627;-234.338;-79.556;688.840;657.507;-144.223;1.364.855;1.287.247;-62.783;1.224.464;98.589;-293.659;1.029.393;0
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;80116;b1;3;8;SAO PAULO;SP;09/2020;21.431;0;377.781;2.034.687;69.517;0;2.503.416;-110.708;-1.992.635;0;0;-22.003;-2.125.346;378.070;257.441;335;-203.386;-53.598;-30.974;37.869;23.849;-2.508;29.030;407.100;-179;406.921;-156.367;-5.631;244.922;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;09/2020;1.214.975;0;253.159;604.386;136.295;5.519;2.214.333;-1.540.848;-277.655;0;0;-554.885;-2.373.388;-159.055;83.517;120.302;-233.315;-247.896;-65.815;221.721;680.593;-453.408;105.699;-53.356;2.508;-50.848;382.745;-57.795;274.102;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;09/2020;1.421.112;1.325;908.443;-499.244;135.682;41.952;2.009.270;-1.383.246;-236.308;-1.330;0;-59.211;-1.680.096;329.174;311.524;78.347;-614.931;-469.299;-86.627;442.035;794.367;-358.757;96.660;425.834;11.148;436.982;16.283;0;453.265;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;80185;n1;3;14;SAO PAULO;SP;09/2020;1.962.666;0;5.702;0;0;0;1.968.368;-615.847;0;0;0;-1.034.858;-1.650.706;317.663;65.921;130.497;-48.813;-90.223;-87.963;4.684;188.746;-579.935;-417.086;-99.423;-165;-99.589;36.941;-9.184;-71.831;0
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;09/2020;517.773;10.321;795.635;409.366;0;7.569;1.740.664;-363.022;-473.769;-8.993;-199.679;-24.350;-1.069.812;670.851;178.312;12.476;-159.188;-137.261;-40.203;5.514;74.800;-48.907;-114.456;556.395;277;556.672;-228.912;-27.722;300.038;0
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;09/2020;1.577.095;35.412;109.280;0;0;0;1.721.787;-718.740;0;-29.759;0;-268.276;-1.016.775;705.012;4.640;68.085;-69.533;-113.665;-48.389;3.712;69.025;-318.691;-404.816;300.196;-15.161;285.035;-125.383;0;159.652;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;09/2020;1.406.081;4.167;146.367;65.675;40.418;53.930;1.716.637;-491.145;-121.120;-4.624;0;-92.899;-709.788;1.006.849;31.652;262.093;-498.178;-335.146;-90.339;90.354;245.855;-537.879;-831.587;175.262;-3.033;172.228;-30.388;-24.013;117.828;0
BANCO PAN S.A.;59285411;PAN;31323;80257;b1;2;8;SAO PAULO;SP;09/2020;1.649.970;0;37.364;11.607;738;0;1.699.680;-316.872;-5;0;0;-366.104;-682.981;1.016.699;42.865;74.667;-145.034;-647.489;-65.257;-2.200;214.514;-250.941;-778.874;237.825;20.879;258.704;-88.526;0;170.178;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;;;81555;b1;3;8;SAO PAULO;SP;09/2020;1.185.438;0;118.750;-43.737;423.855;0;1.684.306;-36.321;-1.039.142;0;0;-233.654;-1.309.117;375.189;23.456;1.723;-60.963;-54.971;-18.193;0;565;-167.052;-275.435;99.754;161;99.914;-41.936;-5.938;52.040;0
BANCO DAYCOVAL S.A.;62232889;DAYCOVAL;51987;81744;b1;2;8;SAO PAULO;SP;09/2020;948.795;0;73.325;299.086;176.698;0;1.497.905;-308.292;-225.927;0;0;-188.350;-722.569;775.336;27.570;31.395;-110.288;-132.433;-44.690;29.146;85.571;-184.125;-297.853;477.483;12.633;490.116;-172.499;-29.465;288.152;0
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;09/2020;1.439.967;0;20.798;0;0;0;1.460.765;-400.591;0;0;0;-237.719;-638.310;822.455;22;0;-18.417;-146.668;-49.207;-136;50.063;-389.917;-554.261;268.194;-41;268.153;-119.063;-4.893;144.197;0
BANCO BMG S.A.;61186680;BMG;30290;80178;b1;2;8;SAO PAULO;SP;09/2020;1.152.059;0;88.098;-63.437;10.054;0;1.186.774;-286.757;-2.621;0;0;-217.512;-506.889;679.885;13.276;3.055;-64.809;-407.705;-32.263;38.051;187.044;-302.268;-565.619;114.266;430;114.695;-7.416;-10.672;96.607;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;81593;b1;1;8;FORTALEZA;CE;09/2020;602.391;0;185.491;7.380;228.595;4.345;1.028.202;-87.087;-285.877;0;0;-17.842;-390.807;637.395;674.807;25.473;-595.934;-325.079;-88.291;0;626.059;-355.354;-38.320;599.075;1.072;600.147;-276.124;-18.685;305.338;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;09/2020;180.757;0;201.896;311.726;312.574;0;1.006.953;-197.879;-510.416;0;0;-18.932;-727.226;279.727;63.856;528;-127.997;-65.838;-19.996;915;58.542;-183.714;-273.704;6.023;-6.818;-796;-4.357;-4.324;-9.477;0
BANCO COOPERATIVO SICREDI S.A.;1181521;;;80745;b1;2;11;PORTO ALEGRE;RS;09/2020;505.393;0;227.948;18.098;21.964;14.586;787.989;-300.476;-215.663;0;0;-3.532;-519.672;268.318;22.327;1.022;-24.849;-228.961;-12.206;2.486;78.798;-53.678;-215.062;53.256;0;53.256;-27.128;-2.160;23.968;0
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL;41856;80312;b1;3;8;SAO PAULO;SP;09/2020;271.465;0;321.583;160.503;0;0;753.550;-119.739;-526.823;0;-72.211;-65.915;-784.687;-31.137;73.627;5.561;-59.338;-37.608;-11.578;124.898;40.092;-25.964;109.690;78.553;-23;78.530;23.694;-28.749;73.475;0
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;80219;b2;3;13;SAO PAULO;SP;09/2020;92.505;0;134.880;456.817;52.669;0;736.870;-105.709;-707.370;0;0;-28.057;-841.136;-104.266;92.391;0;-52.901;-41.622;-8.515;75.203;150.982;-6.833;208.705;104.439;0;104.439;-374;0;104.065;0
BANCO VOLKSWAGEN S.A.;59109165;;;80202;b2;3;8;SAO PAULO;SP;09/2020;697.783;19.429;20.715;-7.907;0;0;730.020;-144.295;-25.889;-17.197;0;-95.756;-283.137;446.883;0;31.347;-999;-86.852;-24.053;26.407;42.358;-234.034;-245.827;201.056;-1.272;199.784;-79.318;0;120.466;0
BANCO J. SAFRA S.A.;3017677;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;09/2020;617.405;1.399;133.616;-30.042;0;0;722.378;-411.256;-3.465;-1.375;0;-222.284;-638.379;83.999;32.004;44.837;-68.072;-104.923;-21.635;0;17.592;-41.885;-142.082;-58.084;-721;-58.804;19.725;0;-39.079;0
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;SOCIETE GENERALE;31859;80264;b1;3;8;SAO PAULO;SP;09/2020;21.034;0;69.371;213.428;357.253;0;661.086;-3.889;-307.219;0;0;976;-310.132;350.954;27.177;0;-22.357;-22.851;-5.846;2.526;26.725;-273.776;-268.402;82.552;2;82.554;-34.665;0;47.889;0
BRB - BANCO DE BRASILIA S.A.;208;BRB;31976;80288;b1;1;8;BRASILIA;DF;09/2020;584.913;0;42.551;1.517;870;4.702;634.553;-94.205;-834;0;0;-47.883;-142.923;491.630;10.932;47.255;-209.676;-122.575;-29.282;37.758;30.510;-55.502;-290.580;201.050;740;201.790;-55.538;-18.601;127.651;0
BANCO CSF S.A.;8357240;;;81610;b2;3;8;SAO PAULO;SP;09/2020;566.693;0;3.070;0;0;0;569.763;-9.317;0;0;0;-430.225;-439.542;130.221;175.941;128.016;-45.089;-239.275;-42.590;-266;11.642;-133.385;-145.006;-14.785;446;-14.339;5.301;0;-9.038;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE;51066;80491;b1;3;8;SAO PAULO;SP;09/2020;57.453;0;32.907;-142.387;583.305;0;531.278;-5.362;-504.555;0;0;-100;-510.017;21.262;5.321;51;-17.966;-11.242;-11.823;30;2.169;-946;-34.405;-13.144;0;-13.144;4.983;0;-8.161;0
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH;51255;80556;b1;3;8;SAO PAULO;SP;09/2020;5.344;0;92.330;66.745;355.702;0;520.120;-39.633;-210.012;0;0;788;-248.857;271.262;311.225;1.954;-135.707;-51.408;-29.245;0;1.253;-156.661;-58.590;212.672;0;212.672;-94.638;0;118.034;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;BANCOOB;51750;80879;b1;2;11;BRASILIA;DF;09/2020;263.462;0;247.671;-1.963;1.388;6.153;516.710;-300.002;-31.111;0;0;-18.094;-349.207;167.504;196.735;10;-37.543;-39.574;-34.255;15.488;116.846;-305.003;-87.296;80.208;625;80.833;-28.672;-2.444;49.717;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;CREFISA;52010;83632;n1;2;14;SAO PAULO;SP;09/2020;484.213;0;17.422;0;0;0;501.634;0;0;0;0;-189.332;-189.332;312.303;0;9.912;-6.048;-287.726;-25.408;0;81.312;-8.614;-236.572;75.731;594;76.325;-41.198;0;35.127;0
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL;20152;80123;b1;2;8;BELO HORIZONTE;MG;09/2020;486.161;0;13.602;-18.166;17.731;654;499.982;-39.954;-2.825;0;0;-86.738;-129.517;370.465;8.936;52.561;-109.793;-159.187;-26.570;13.032;43.400;-146.147;-323.770;46.695;-1.017;45.678;-13.475;-4.201;28.002;0
