Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;12/2020;30.477.074;2.917;13.624.702;-314.864;0;745.197;44.535.026;-11.529.539;-1.926.786;-2.585;-252.604;-8.214.808;-21.926.323;22.608.702;4.854.197;4.947.149;-8.424.965;-9.492.242;-2.498.885;2.889.254;5.869.401;-8.506.212;-10.362.304;12.246.398;-201.734;12.044.664;-2.386.229;0;9.658.436;0
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;12/2020;32.974.616;0;7.836.420;-701.446;500.779;596.083;41.206.451;-12.573.195;-2.510.234;0;0;-13.314.881;-28.398.310;12.808.141;4.912.392;4.658.712;-10.162.623;-5.494.391;-2.017.948;3.889.128;5.595.490;-8.458.447;-7.077.686;5.730.455;-6.282;5.724.172;1.176.941;-736.816;6.164.297;0
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;;80738;b1;1;6;BRASILIA;DF;12/2020;33.084.734;0;5.973.058;-1.056.528;0;1.868.377;39.869.641;-8.919.691;-9.802.264;0;-35.429;-6.304.917;-25.062.302;14.807.339;9.150.304;3.121.012;-12.031.492;-5.466.100;-1.767.011;5.831.858;3.279.526;-11.022.419;-8.904.322;5.903.017;308.557;6.211.574;2.017.185;-942.071;7.286.688;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;12/2020;17.607.909;108;12.180.986;-170.831;1.516.861;539.549;31.674.581;-8.579.746;-1.107.700;-108;0;-4.432.427;-14.119.980;17.554.601;5.095.258;2.374.722;-3.187.628;-5.113.749;-1.973.538;-307.665;8.649.399;-8.773.907;-3.237.108;14.317.492;20.927;14.338.419;-5.437.312;-787.837;8.113.270;0
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;12/2020;20.546.093;82;11.481.389;-6.872.715;1.496.020;808.416;27.459.286;-10.278.624;-906.158;-65;0;-2.912.245;-14.097.092;13.362.194;5.689.553;4.147.833;-5.594.150;-6.985.563;-1.860.591;3.912.714;8.929.907;-8.028.382;211.321;13.573.515;52.729;13.626.243;-1.516.433;-2.598.682;9.511.129;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;12/2020;18.344.359;0;3.925.572;-2.023.808;0;0;20.246.123;-918.857;-10.604.039;0;-66.142;-3.457.138;-15.046.177;5.199.946;226.061;0;-629.484;-97.262;-294.419;11.754.481;1.785.158;-1.278.552;11.465.981;16.665.927;-69.938;16.595.988;-738.699;-137.518;15.719.772;0
BANCO ITAUCARD S.A.;17192451;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;12/2020;5.403.444;47.487;813.299;-45.501;0;0;6.218.728;-605.910;-145.934;-66.287;-2.350;-2.941.029;-3.761.510;2.457.218;2.569.407;1.102.215;-89.802;-2.502.275;-525.871;201.529;1.045.002;-2.937.304;-1.137.100;1.320.118;8.554;1.328.672;-482.012;-1.165;845.495;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;12/2020;894.156;0;3.957.215;-945.997;544.908;32.682;4.482.964;-2.027.280;-423.857;0;0;-50.833;-2.501.971;1.980.993;1.299.880;14.664;-227.895;-603.610;-192.416;1.178.879;1.039.239;-421.599;2.087.140;4.068.133;-66.019;4.002.115;-784.403;-301.659;2.916.053;0
BANCO PAN S.A.;59285411;PAN;31323;80257;b1;2;8;SAO PAULO;SP;12/2020;4.097.841;0;103.208;-93.588;881;0;4.108.342;-781.567;-10;0;0;-694.829;-1.476.405;2.631.937;98.484;184.236;-298.551;-1.656.141;-168.745;3.897;255.719;-570.459;-2.151.559;480.377;30.634;511.011;-169.893;0;341.119;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER - PRUDENCIAL;30379;80185;n1;3;14;SAO PAULO;SP;12/2020;4.095.049;0;9.907;0;0;0;4.104.956;-1.226.607;0;0;0;-1.354.782;-2.581.388;1.523.568;133.046;273.305;-98.225;-201.662;-182.131;12.404;409.562;-1.265.398;-919.099;604.469;-3.216;601.253;-241.866;-16.820;342.567;0
