Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;12/2024;75.129.298;0;57.164.685;1.728.990;209.790;3.832.958;138.065.723;-77.818.314;-18.344.559;0;0;-21.855.264;-118.018.138;20.047.585;6.733.732;4.042.890;-12.594.716;-5.962.848;-2.925.982;12.042.656;8.810.466;-11.472.473;-1.326.275;18.721.310;47.318;18.768.628;1.079.208;-2.257.435;17.590.402;0
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;12/2024;43.162.885;39;52.976.841;7.609.551;4.561.934;6.034.883;114.346.133;-73.445.980;-16.822.808;0;0;-5.592.353;-95.861.141;18.484.993;4.760.665;3.038.691;-6.663.551;-10.241.108;-1.838.835;14.066.584;6.394.938;-12.005.990;-2.488.606;15.996.387;112.134;16.108.521;1.893.405;-4.486.382;13.515.544;0
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;12/2024;64.390.500;0;24.457.940;3.261.560;367.931;5.560.558;98.038.489;-50.717.580;-15.907.000;0;0;-7.755.685;-74.380.266;23.658.223;8.869.673;3.064.008;-14.771.153;-6.515.144;-2.051.581;2.531.003;6.326.225;-15.243.548;-17.790.518;5.867.706;652.479;6.520.185;1.952.527;-1.161.003;7.311.709;0
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;12/2024;51.447.681;424;31.228.566;2.185.932;4.232.948;4.512.857;93.608.407;-58.264.619;-10.966.719;-344;0;-13.758.379;-82.990.061;10.618.346;7.319.685;4.251.689;-10.405.259;-9.414.163;-2.112.929;12.801.986;5.393.354;-11.005.780;-3.171.417;7.446.929;-18.084;7.428.845;2.729.812;0;10.158.657;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;12/2024;29.626.871;78;20.176.603;5.602.761;0;4.409.840;59.816.154;-46.365.928;-6.483.307;-78;-51.500;-7.507.970;-60.408.783;-592.630;6.805.521;2.277.890;-3.492.369;-7.197.456;-1.430.093;12.968.364;9.885.618;-13.315.871;6.501.604;5.908.975;76.023;5.984.997;1.956.079;-987.146;6.953.930;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;12/2024;29.393.152;0;9.199.905;3.990.002;0;56.895;42.639.954;-3.084.109;-27.730.478;0;-14.810;-769.329;-31.598.726;11.041.228;473.747;0;-728.331;-131.632;-584.611;6.710.767;698.001;-3.555.935;2.882.006;13.923.234;52;13.923.285;-714.657;-155.968;13.052.660;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;12/2024;20.074.548;0;2.601.234;389.937;0;2.151.042;25.216.761;-6.441.525;-66.713;0;-151.845;-8.436.825;-15.096.907;10.119.854;356;0;-605.558;-1.949.028;-921.401;-43.398;2.115.299;-1.011.518;-2.415.248;7.704.606;0;7.704.606;-2.868.193;-3.731;4.832.681;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;12/2024;2.980.605;242;15.748.334;4.622.887;0;1.014.713;24.366.781;-15.943.381;-6.233.066;-219;-143.189;970.862;-21.348.992;3.017.789;1.216.887;97.036;-670.943;-2.221.061;-269.997;4.891.651;1.392.677;-1.238.045;3.198.206;6.215.995;587.652;6.803.647;-3.826;-607.491;6.192.330;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;12/2024;4.712.448;755;5.938.288;2.055.823;482.760;533.606;13.723.680;-9.780.704;-2.406.416;-684;0;1.318.881;-10.868.923;2.854.757;728.947;169.596;-1.811.966;-1.007.484;-248.174;755.512;3.283.877;-2.879.012;-1.008.703;1.846.054;25.943;1.871.997;120.948;0;1.992.944;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;12/2024;10.890.925;1.771;1.648.652;-711.345;0;0;11.830.003;-6.557.221;-50.327;-5.523;-34.756;-4.621.618;-11.269.444;560.559;5.519.219;894.693;-157.666;-2.701.960;-919.438;18.166.121;712.891;-4.572.297;16.941.562;17.502.121;1.637;17.503.758;1.803.138;-62.880;19.244.016;0
